doc_id,true_member_id,true_auth_id,form_type,extracted_first_name,extracted_last_name,extracted_dob,extracted_ssn4,extracted_member_id_on_form,extracted_auth_number,provider_name,provider_npi,source_channel,sender_fax_number,quality_score,is_readable,error_type
fc9c5e1c-d807-440a-8061-c26e19968ed4,279c208b-befb-474c-a26d-06229a80df70,5d4a54ee-6135-4775-8af2-910b3dd3b469,imaging_report,Nancy,Wilson,1967-11-22,,279c208b-befb-474c-a26d-06229a80df70,,"Dr. Christopher Lee, MD",4014711035,fax,3956759756,0.86,True,missing_ssn4
d368c370-a4bb-4399-97d4-9ab7ac944bd9,2fe46fc9-9141-475c-888b-173cc062a204,e461333c-69f4-46d0-8142-1c4365287e78,prior_auth_form,Stephen,O'Brien,1985-04-01,1102,2fe46fc9-9141-475c-888b-173cc062a204,AUTH-2026-002524,"Dr. Thomas Wilson, MD",2971328177,fax,5705347000,0.84,True,transposed_dob
93b6c747-3992-4012-add5-a3e83b1aab89,14a86c71-3907-4030-bc98-5e7a177e6700,,discharge_summary,Sharon,Rodriguez,1984-03-19,,14a86c71-3907-4030-bc98-5e7a177e6700,,"Dr. Mei Johnson, MD",9911594202,fax,9249479687,0.88,True,none
e6d76bc2-0dd9-4dea-b5a8-ab85c5395aff,4a0f2701-ad48-41fa-8811-d21c77abc9b4,222d18bd-6496-40e1-aa8d-ff466bb6e191,prior_auth_form,Williams,Cynthia,1971-07-08,6215,,,"Dr. Ahmed Smith, MD",9842184922,fax,2007247078,0.88,True,swapped_names
6284b12d-a597-4e00-94df-4803ec96a02e,99c9fe74-bbea-4534-b1e0-19819400ba26,29216607-c483-4d14-b41e-cb0eda404352,lab_result,Ashley,Jones,1967-09-09,1644,99c9fe74-bbea-4534-b1e0-19819400ba26,AUTH-2026-000225,"Dr. William Gupta, MD",7944924553,fax,9715915491,0.93,True,transposed_dob
eadf095e-39b9-4b22-a195-3f5505ad2f92,78359f29-c56a-4d68-95ea-cfdfeab0d46a,,prior_auth_form,Joshua,Lewis,1994-08-20,2083,78359f29-c56a-4d68-95ea-cfdfeab0d46a,,"Dr. Jennifer Lewis, MD",4765175666,fax,8869293704,0.84,True,none
30fb1ba7-3d3b-44de-9b6e-3526822908e2,4ecc09d8-5f31-47e5-a899-cc494e25a979,,prior_auth_form,Jack,White,2002-07-24,1806,4ecc09d8-5f31-47e5-a899-cc494e25a979,,"Dr. Sergei Johnson, MD",8501613457,fax,9573612983,0.87,True,none
7bf6913d-b734-409e-b6e1-69a05c94c254,9c1ddd13-04f4-4cab-a8d1-ae5078df247d,1523226c-300b-4bde-bde4-4dd3186557f7,clinical_note,Emma,Cambell,1983-03-12,,9c1ddd13-04f4-4cab-a8d1-ae5078df247d,AUTH-2026-002213,"Dr. Hiroshi Taylor, DO",8549879627,fax,4395241593,0.95,True,name_variant
6cf276d2-67eb-4417-b9b2-afc18952a9d6,96064c8f-bee1-4f1c-93ec-d36d3758bd54,b233279c-7506-4ae4-ae79-5c7ec02ecc90,lab_result,Melissa,Mitchell,1965-01-03,,96064c8f-bee1-4f1c-93ec-d36d3758bd54,AUTH-2026-001101,"Dr. James Jones, MD",1774728579,fax,9069782382,0.72,True,missing_ssn4
634659d9-7808-453c-80a7-57b1c7161d3e,8cc25221-7d96-47e7-b995-c183bfd21dfe,,lab_result,MacArthur,Yuki,2003-03-02,4904,8cc25221-7d96-47e7-b995-c183bfd21dfe,,"Dr. Susan Jones, DO",9113165802,electronic,,0.76,True,swapped_names
54248bb5-1c13-4946-abc5-09c94639cb8e,4fcd1e78-9b71-4337-9588-90f967d23ecc,ae312830-4b0c-4b95-b71f-a6c9472ca2b1,lab_result,Robinson,Rebecca,1965-10-12,9528,4fcd1e78-9b71-4337-9588-90f967d23ecc,AUTH-2026-000734,"Dr. Karen Smith, MD",5118388394,electronic,,0.82,True,swapped_names
cd155ed9-9c77-44cd-b8c6-7405a895053e,204486c2-cb67-4894-bfc4-e6a8a5d8f13d,5b46bece-5eee-47ac-b8be-c4eaa65f1554,prior_auth_form,Jack,Green,2001-11-25,9622,,AUTH-2026-002673,"Dr. Christopher Rodriguez, DO",4775832260,upload,,0.8,True,none
821acb20-6b14-41e6-8657-71606844e3ee,93bc8f51-c07a-4282-a177-93f300558f6c,7fc30864-b600-4727-866b-a9aa9e80f38e,clinical_note,Thomas,Ramos,1966-06-19,8337,93bc8f51-c07a-4282-a177-93f300558f6c,AUTH-2026-002201,"Dr. Raj Clark, MD",5204927542,electronic,,0.75,True,none
47235edb-a51a-453c-b6d9-1f82efed2841,10c0701e-d5d6-4f29-84ff-79de06d60a97,f3c8da1b-4659-4518-81a0-84098073a1e3,prior_auth_form,Nancy,Powell,1987-09-22,1192,10c0701e-d5d6-4f29-84ff-79de06d60a97,AUTH-2026-000443,"Dr. William Jones, MD",2312300417,upload,,0.22,False,low_quality
b736f32f-da5f-4715-a8fa-39c823e68296,bd666feb-1520-4696-8c70-23e952e86cc8,31adcbb6-58e5-4e19-9c38-27f02e2008eb,prior_auth_form,Marcus,Jackson,1989-05-26,6599,,,"Dr. James Moore, MD",1352339683,fax,7737343247,0.88,True,none
7d7b84d7-b62b-4a18-ac08-0d75548ba126,e1e60b6b-3f07-42c3-a11a-0ecd899688e2,8aee7c2d-f51a-434d-bf7d-086824136f35,prior_auth_form,Jerry,Cook,1984-04-20,2108,e1e60b6b-3f07-42c3-a11a-0ecd899688e2,AUTH-2026-000597,"Dr. Christopher Rodriguez, MD",9741051158,upload,,0.78,True,none
aac694fd-43a7-4f61-a54a-b86535e9460e,2323e724-ff8f-47ad-a28e-55e919e629dd,8601d367-ba44-4e24-ac57-6c1c4f12f6a8,clinical_note,Deborah,O'Sullivan,1992-11-02,9330,,AUTH-2026-000781,"Dr. Karen Brown, DO",9849362717,fax,4098248464,1.0,True,none
f3bcb9fc-5bbf-442b-a06a-7f5ccbfc761f,bdec8a58-520c-4678-b60d-8c9d4c29b9de,06ad7246-e971-4cf0-a1a5-e903bacbe17d,clinical_note,Miguel,Mendoza,1996-08-01,7272,,AUTH-2026-002612,"Dr. David Davis, MD",6195886552,electronic,,1.0,True,none
7a4cdf7e-6075-4667-9801-e301a6ce4307,af7c86c4-2233-4a47-adcc-645f75935fbe,08e5ee62-8594-4cdf-b549-1687e472e78d,prior_auth_form,Alejandro,Parker,1977-07-29,0820,af7c86c4-2233-4a47-adcc-645f75935fbe,,"Dr. Karen Smith, MD",6347685808,fax,8315185440,0.84,True,noise
e18f867b-27e7-49c6-ad05-8eb91705d594,dfec60f8-506e-47b3-954b-aef256e27cd5,823cafd2-66bc-4743-9968-3fefff331cb8,prior_auth_form,Benjamin,Ward,2004-06-11,6446,,AUTH-2026-001316,"Dr. Robert Kowalski, MD",9803076575,upload,,0.82,True,none
7dfcf859-3e1e-444e-8dd0-297c54203259,f6a00a93-a826-489c-81bb-c9fdfa2bfa80,09ceb417-5729-4baf-a5b7-7570d8f6d6c1,prior_auth_form,David,Nguyen,1968-04-23,1528,f6a00a93-a826-489c-81bb-c9fdfa2bfa80,AUTH-2026-000179,"Dr. Nancy Kim, DO",8904593563,fax,7617218743,1.0,True,none
30ace533-a98c-46e3-9f75-4786d85b7372,769aba37-1f25-4561-be6b-536f0a923cd4,73b00447-7f8e-4c70-9510-6b76eefaa8e8,prior_auth_form,Flores,Tyrone,1976-06-22,0222,769aba37-1f25-4561-be6b-536f0a923cd4,,"Dr. Richard Patel, MD",2898175619,upload,,0.82,True,swapped_names
19ac2916-bd74-4e3e-8216-0bcbcab675b4,ecfba50f-5c23-4a7c-8cbe-5410b218edba,a7672fbc-7399-4d47-81cd-cdbc4929d3a4,prior_auth_form,Margaret,Peterson,1964-07-09,9381,,,"Dr. Patricia Lee, DO",8567619998,electronic,,0.79,True,none
860ece0b-7590-4ad8-9821-7f7375121807,0bfbb6b4-abcd-4c31-a22b-009cb4887b01,3de6ba6f-7617-449c-8bcb-7fbc8c567758,prior_auth_form,William,Carter,1963-06-14,,0bfbb6b4-abcd-4c31-a22b-009cb4887b01,AUTH-2026-001769,"Dr. William Johnson, DO",2883297223,fax,7303171292,0.84,True,missing_ssn4
b57a5954-71d8-478e-be3e-c8dc37ed0c1f,24c095a5-676c-45c1-a283-b1880e60b4b6,d650ddae-984a-43bb-842c-72633526f96c,clinical_note,Chavez,Mark,1943-01-24,9282,,AUTH-2026-002642,"Dr. Ahmed Shah, MD",2613320164,fax,4896851583,0.78,True,swapped_names
eced63a9-10c9-492f-8131-6c4aa3622d82,dba28323-a70b-4c70-8940-808a8022043e,,clinical_note,Gregory,O'Brien,1956-30-04,2875,dba28323-a70b-4c70-8940-808a8022043e,,"Dr. Wei Johnson, MD",5667151475,fax,3746099408,0.96,True,transposed_dob
1a42d28b-ee5f-488b-aef8-8a134c75477f,ea71f2b9-e32a-434c-8c4c-ed5dd186a816,11126fe9-33e2-48ac-ba75-6f9899a206e8,clinical_note,Dorothy,Martin,1974-04-24,7039,ea71f2b9-e32a-434c-8c4c-ed5dd186a816,AUTH-2026-000913,"Dr. Priya Chen, MD",7556158145,fax,4132213266,0.77,True,none
dd54ccb4-d704-4f35-9811-0b3bb0b74256,df42e387-2dd1-482d-8300-177da8f79c6a,,imaging_report,Frank,Jones,2007-03-04,7522,,,"Dr. Sarah Clark, MD",1400649355,fax,2517156584,0.14,False,low_quality
2553c77d-3846-48f3-99d5-7a09acc3b756,f6a00a93-a826-489c-81bb-c9fdfa2bfa80,114fa3a9-fb59-4943-8f16-c8a69bdbe3f5,clinical_note,David,Nguyen,1968-04-23,1528,,AUTH-2026-001060,"Dr. Priya Davis, MD",2851666537,fax,2535489800,0.88,True,none
d82154a6-f293-4c30-b6a6-fd2ffd011cc3,3a69d0a3-c078-4410-8769-84d91eec1f23,e9c2cfd9-f8bc-4f0c-9f7a-d5112dffc7b0,clinical_note,Ronald,Price,1980-04-23,1003,3a69d0a3-c078-4410-8769-84d91eec1f23,AUTH-2026-000324,"Dr. Priya Singh, DO",2056160289,mail,,0.77,True,none
